Name:B X_Dim:60 Y_Dim:600 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19         20         21         22         23         24         25         26         27         28         29         30        31        32        33        34        35        36        37        38        39        40        41        42            43
  -340.0         X  1.055010e-03  1.043520e-03  1.032150e-03  1.020900e-03  1.009780e-03    1.624040    1.599560    1.575490    1.551950    1.528900    1.506340    1.484250    1.462610    1.441410    1.420640    1.400280    1.380320    1.360750    1.341550    1.322720  -0.320526  -0.318583  -0.317603  -0.315979  -0.313727  -0.310868  -0.307119  -0.302227  -0.295988  -0.287974  -0.277885 -0.265335 -0.249972 -0.231616 -0.210207 -0.185857 -0.159216 -0.131237 -0.103083 -0.076151 -0.052266 -0.016401 -0.002580 -9.903440e-04
  -338.0         X  1.066820e-03  1.055190e-03  1.043700e-03  1.032320e-03  1.021080e-03    1.643110    1.618340    1.593990    1.570170    1.546850    1.524020    1.501660    1.479770    1.458320    1.437300    1.416690    1.396500    1.376690    1.357270    1.338210  -0.324340  -0.322375  -0.321382  -0.319739  -0.317460  -0.314567  -0.310773  -0.305823  -0.299509  -0.291399  -0.281189 -0.268488 -0.252941 -0.234365 -0.212699 -0.188057 -0.161096 -0.132783 -0.104292 -0.077040 -0.052873 -0.016588 -0.002609 -1.001420e-03
  -336.0         X  1.078800e-03  1.067050e-03  1.055420e-03  1.043920e-03  1.032540e-03    1.662490    1.637430    1.612780    1.588670    1.565070    1.541970    1.519350    1.497190    1.475490    1.454210    1.433370    1.412930    1.392890    1.373230    1.353950  -0.328217  -0.326228  -0.325223  -0.323560  -0.321254  -0.318326  -0.314486  -0.309477  -0.303087  -0.294879  -0.284547 -0.271693 -0.255958 -0.237159 -0.215232 -0.190292 -0.163007 -0.134353 -0.105521 -0.077943 -0.053489 -0.016779 -0.002638 -1.012670e-03
  -334.0         X  1.090970e-03  1.079080e-03  1.067320e-03  1.055690e-03  1.044180e-03    1.682180    1.656810    1.631880    1.607470    1.583590    1.560210    1.537320    1.514900    1.492930    1.471400    1.450300    1.429620    1.409340    1.389450    1.369940  -0.332156  -0.330143  -0.329127  -0.327443  -0.325109  -0.322146  -0.318260  -0.313190  -0.306723  -0.298416  -0.287958 -0.274949 -0.259024 -0.239997 -0.217805 -0.192564 -0.164949 -0.135948 -0.106769 -0.078861 -0.054115 -0.016972 -0.002668 -1.024090e-03
  -332.0         X  1.103310e-03  1.091290e-03  1.079400e-03  1.067630e-03  1.056000e-03    1.702180    1.676510    1.651270    1.626580    1.602410    1.578750    1.555580    1.532890    1.510650    1.488870    1.467510    1.446580    1.426060    1.405930    1.386180  -0.336160  -0.334122  -0.333094  -0.331390  -0.329028  -0.326028  -0.322095  -0.316964  -0.310418  -0.302010  -0.291426 -0.278259 -0.262141 -0.242882 -0.220420 -0.194872 -0.166921 -0.137570 -0.108037 -0.079793 -0.054751 -0.017169 -0.002698 -1.035680e-03
  -330.0         X  1.115850e-03  1.103690e-03  1.091660e-03  1.079760e-03  1.067990e-03    1.722510    1.696530    1.670990    1.645990    1.621530    1.597580    1.574130    1.551160    1.528660    1.506610    1.485000    1.463820    1.443040    1.422670    1.402680  -0.340229  -0.338167  -0.337125  -0.335401  -0.333010  -0.329974  -0.325993  -0.320799  -0.314174  -0.305664  -0.294950 -0.281623 -0.265308 -0.245814 -0.223078 -0.197218 -0.168926 -0.139217 -0.109326 -0.080740 -0.055397 -0.017368 -0.002729 -1.047440e-03
  -328.0         X  1.128580e-03  1.116280e-03  1.104110e-03  1.092080e-03  1.080170e-03    1.743170    1.716870    1.691020    1.665720    1.640960    1.616720    1.592990    1.569740    1.546960    1.524650    1.502770    1.481330    1.460300    1.439680    1.419450  -0.344365  -0.342278  -0.341224  -0.339478  -0.337058  -0.333985  -0.329955  -0.324698  -0.317992  -0.309377  -0.298532 -0.285042 -0.268527 -0.248794 -0.225779 -0.199603 -0.170964 -0.140891 -0.110635 -0.081702 -0.056053 -0.017571 -0.002761 -1.059390e-03
  -326.0         X  1.141500e-03  1.129060e-03  1.116750e-03  1.104580e-03  1.092540e-03    1.764160    1.737540    1.711370    1.685770    1.660700    1.636170    1.612140    1.588610    1.565560    1.542970    1.520830    1.499120    1.477840    1.456970    1.436490  -0.348570  -0.346457  -0.345390  -0.343623  -0.341173  -0.338062  -0.333982  -0.328660  -0.321872  -0.313152  -0.302173 -0.288517 -0.271799 -0.251823 -0.228525 -0.202026 -0.173035 -0.142592 -0.111966 -0.082679 -0.056720 -0.017777 -0.002792 -1.071520e-03
  -324.0         X  1.154630e-03  1.142040e-03  1.129590e-03  1.117270e-03  1.105100e-03    1.785500    1.758550    1.732060    1.706140    1.680770    1.655940    1.631620    1.607800    1.584460    1.561590    1.539180    1.517210    1.495670    1.474540    1.453810  -0.352844  -0.350705  -0.349625  -0.347836  -0.345356  -0.342207  -0.338077  -0.332689  -0.325817  -0.316989  -0.305875 -0.292050 -0.275125 -0.254903 -0.231316 -0.204489 -0.175140 -0.144322 -0.113318 -0.083673 -0.057397 -0.017986 -0.002825 -1.083830e-03
  -322.0         X  1.167950e-03  1.155220e-03  1.142620e-03  1.130170e-03  1.117850e-03    1.807180    1.779910    1.753090    1.726850    1.701170    1.676030    1.651410    1.627290    1.603670    1.580520    1.557830    1.535590    1.513780    1.492400    1.471410  -0.357189  -0.355024  -0.353930  -0.352119  -0.349608  -0.346420  -0.342239  -0.336785  -0.329827  -0.320890  -0.309638 -0.295641 -0.278506 -0.258033 -0.234154 -0.206993 -0.177280 -0.146080 -0.114693 -0.084683 -0.058086 -0.018198 -0.002857 -1.096340e-03
