Name:A X_Dim:600 Y_Dim:600 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4             5             6             7             8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33          34          35          36          37          38          39         40         41        42            43
  -338.0         X  4.794800e-03  4.729220e-03  4.664530e-03  4.600740e-03  4.537830e-03     44.198400     42.589500     41.100300     39.720800    38.436300    37.234700    36.106000    35.042100    34.036100    33.082200    32.175400    31.311500    30.486900    29.698400    28.943200   -16.227100   -15.934800   -15.790200   -15.555100   -15.237600   -14.848100   -14.359000   -13.754900   -13.034600   -12.181700   -11.206400   -10.119500    -8.941300    -7.705710   -6.448050   -5.205020   -4.027970   -2.963590   -2.048920   -1.310840  -0.766685  -0.160001 -0.014895 -4.458260e-03
  -336.0         X  4.822980e-03  4.757000e-03  4.691930e-03  4.627760e-03  4.564480e-03     44.564600     42.940500     41.437400     40.045100    38.748700    37.536000    36.397000    35.323400    34.308300    33.345800    32.430900    31.559300    30.727400    29.931900    29.170000   -16.375300   -16.080000   -15.934000   -15.696500   -15.375900   -14.982600   -14.488600   -13.878500   -13.151100   -12.289800   -11.305100   -10.207700    -9.018220    -7.770990   -6.501690   -5.247400   -4.059940   -2.986440   -2.064200   -1.320270  -0.771982  -0.161016 -0.014984 -4.484440e-03
  -334.0         X  4.851280e-03  4.784910e-03  4.719460e-03  4.654910e-03  4.591250e-03     44.934400     43.295000     41.777700     40.372400    39.064000    37.840100    36.690700    35.607300    34.583000    33.611800    32.688700    31.809300    30.970000    30.167500    29.398900   -16.525100   -16.226900   -16.079500   -15.839600   -15.515800   -15.118500   -14.619600   -14.003500   -13.268900   -12.399100   -11.404800   -10.296700    -9.095920    -7.836920   -6.555850   -5.290170   -4.092200   -3.009490   -2.079610   -1.329760  -0.777315  -0.162037 -0.015073 -4.510730e-03
  -332.0         X  4.879700e-03  4.812940e-03  4.747110e-03  4.682170e-03  4.618140e-03     45.307800     43.652900     42.121300     40.702900    39.382300    38.147100    36.987100    35.893900    34.860200    33.880300    32.948800    32.061600    31.214800    30.405100    29.629800   -16.676700   -16.375500   -16.226500   -15.984300   -15.657200   -15.256000   -14.752100   -14.129800   -13.387900   -12.509600   -11.505600   -10.386800    -9.174420    -7.903520   -6.610530   -5.333340   -4.124750   -3.032730   -2.095140   -1.339320  -0.782686  -0.163063 -0.015163 -4.537140e-03
  -330.0         X  4.908250e-03  4.841100e-03  4.774870e-03  4.709560e-03  4.645140e-03     45.684900     44.014200     42.468200     41.036500    39.703600    38.457000    37.286300    36.183100    35.140000    34.151200    33.211300    32.316200    31.461800    30.644900    29.862700   -16.829900   -16.525700   -16.375200   -16.130600   -15.800200   -15.394900   -14.886000   -14.257600   -13.508300   -12.621300   -11.607400   -10.477700    -9.253730    -7.970770   -6.665750   -5.376910   -4.157590   -3.056170   -2.110800   -1.348960  -0.788094  -0.164095 -0.015253 -4.563670e-03
  -328.0         X  4.936930e-03  4.869380e-03  4.802760e-03  4.737060e-03  4.672270e-03     46.065600     44.379100     42.818400     41.373300    40.027900    38.769800    37.588300    36.474900    35.422400    34.424500    33.476200    32.573000    31.711000    30.886900    30.097700   -16.984900   -16.677600   -16.525600   -16.278500   -15.944800   -15.535500   -15.021500   -14.386700   -13.630000   -12.734200   -11.710400   -10.569700    -9.333850    -8.038710   -6.721500   -5.420900   -4.190730   -3.079810   -2.126580   -1.358670  -0.793538  -0.165133 -0.015343 -4.590310e-03
  -326.0         X  4.965720e-03  4.897780e-03  4.830770e-03  4.764680e-03  4.699500e-03     46.450100     44.747500     43.172100     41.713300    40.355300    39.085500    37.893100    36.769500    35.707300    34.700400    33.743500    32.832200    31.962400    31.131000    30.334800   -17.141600   -16.831200   -16.677700   -16.428100   -16.091000   -15.677600   -15.158400   -14.517300   -13.753000   -12.848400   -11.814400   -10.662500    -9.414790    -8.107320   -6.777800   -5.465290   -4.224170   -3.103650   -2.142480   -1.368450  -0.799020  -0.166177 -0.015434 -4.617060e-03
  -324.0         X  4.994640e-03  4.926290e-03  4.858890e-03  4.792410e-03  4.726850e-03     46.838400     45.119400     43.529100     42.056500    40.685800    39.404200    38.200700    37.066800    35.994900    34.978800    34.013200    33.093700    32.216100    31.377200    30.574000   -17.300200   -16.986600   -16.831500   -16.579400   -16.238900   -15.821300   -15.296900   -14.649300   -13.877400   -12.963700   -11.919500   -10.756400    -9.496560    -8.176620   -6.834640   -5.510100   -4.257900   -3.127690   -2.158520   -1.378300  -0.804539  -0.167226 -0.015525 -4.643920e-03
  -322.0         X  5.023670e-03  4.954920e-03  4.887120e-03  4.820250e-03  4.754310e-03     47.230400     45.495000     43.889500     42.403000    41.019500    39.725800    38.511200    37.366800    36.285100    35.259700    34.285400    33.357500    32.472100    31.625700    30.815300   -17.460500   -17.143700   -16.987100   -16.732300   -16.388400   -15.966600   -15.436800   -14.782800   -14.003100   -13.080300   -12.025800   -10.851200    -9.579180    -8.246610   -6.892030   -5.555330   -4.291930   -3.151940   -2.174680   -1.388230  -0.810095  -0.168281 -0.015617 -4.670890e-03
  -320.0         X  5.052810e-03  4.983660e-03  4.915460e-03  4.848200e-03  4.781870e-03     47.626300     45.874200     44.253400     42.752800    41.356200    40.050500    38.824600    37.669600    36.577900    35.543200    34.560000    33.623700    32.730300    31.876300    31.058700   -17.622600   -17.302600   -17.144400   -16.887000   -16.539600   -16.113500   -15.578400   -14.917700   -14.130200   -13.198200   -12.133200   -10.947100    -9.662640    -8.317300   -6.949970   -5.600980   -4.326270   -3.176390   -2.190970   -1.398220  -0.815688  -0.169341 -0.015709 -4.697970e-03
