Name:B X_Dim:120 Y_Dim:600 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component         0         1         2         3         4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19         20         21         22         23         24         25         26         27         28         29         30         31         32         33         34         35         36         37         38         39        40        41        42        43
  -340.0         X  0.023235  0.023100  0.022966  0.022833  0.022700     5.476910     5.430150     5.383750     5.337920     5.292660     5.247970     5.203820     5.160210     5.117140     5.074580     5.032530     4.990980     4.949930     4.909360     4.869260  -0.626854  -0.624558  -0.623395  -0.621464  -0.618775  -0.615344  -0.610813  -0.604849  -0.597151  -0.587113  -0.574230  -0.557807  -0.537081  -0.511375  -0.480029  -0.442480  -0.398935  -0.350211  -0.297721  -0.243572 -0.191036 -0.094602 -0.033647 -0.020105
  -338.0         X  0.023481  0.023344  0.023208  0.023074  0.022940     5.538960     5.491640     5.444690     5.398320     5.352530     5.307310     5.262640     5.218520     5.174940     5.131880     5.089340     5.047300     5.005770     4.964720     4.924150  -0.634258  -0.631933  -0.630756  -0.628802  -0.626081  -0.622608  -0.618022  -0.611985  -0.604194  -0.594034  -0.580994  -0.564371  -0.543393  -0.517376  -0.485650  -0.447647  -0.403577  -0.354266  -0.301148  -0.246356 -0.193200 -0.095648 -0.034008 -0.020319
  -336.0         X  0.023729  0.023592  0.023454  0.023318  0.023183     5.601950     5.554070     5.506560     5.459650     5.413320     5.367560     5.322360     5.277720     5.233620     5.190060     5.147010     5.104480     5.062460     5.020920     4.979880  -0.641780  -0.639427  -0.638235  -0.636257  -0.633503  -0.629987  -0.625345  -0.619234  -0.611348  -0.601064  -0.587865  -0.571040  -0.549806  -0.523472  -0.491360  -0.452896  -0.408291  -0.358386  -0.304629  -0.249182 -0.195397 -0.096710 -0.034375 -0.020535
  -334.0         X  0.023982  0.023842  0.023704  0.023566  0.023429     5.665910     5.617460     5.569390     5.521920     5.475030     5.428730     5.383000     5.337830     5.293210     5.249120     5.205570     5.162540     5.120010     5.077990     5.036460  -0.649423  -0.647041  -0.645835  -0.643832  -0.641044  -0.637486  -0.632786  -0.626601  -0.618618  -0.608208  -0.594847  -0.577816  -0.556322  -0.529666  -0.497161  -0.458228  -0.413081  -0.362570  -0.308165  -0.252052 -0.197627 -0.097787 -0.034747 -0.020754
  -332.0         X  0.024238  0.024097  0.023957  0.023818  0.023679     5.730860     5.681830     5.633180     5.585140     5.537700     5.490850     5.444570     5.398860     5.353710     5.309100     5.265030     5.221480     5.178450     5.135930     5.093910  -0.657189  -0.654778  -0.653557  -0.651530  -0.648707  -0.645105  -0.640348  -0.634086  -0.626005  -0.615467  -0.601941  -0.584701  -0.562942  -0.535959  -0.503056  -0.463646  -0.417946  -0.366820  -0.311755  -0.254967 -0.199892 -0.098881 -0.035124 -0.020977
  -330.0         X  0.024497  0.024355  0.024213  0.024073  0.023933     5.796810     5.747200     5.697970     5.649350     5.601340     5.553930     5.507100     5.460840     5.415150     5.370010     5.325410     5.281340     5.237800     5.194770     5.152240  -0.665081  -0.662640  -0.661404  -0.659352  -0.656495  -0.652848  -0.648032  -0.641693  -0.633511  -0.622843  -0.609150  -0.591697  -0.569670  -0.542353  -0.509044  -0.469150  -0.422890  -0.371138  -0.315403  -0.257928 -0.202192 -0.099991 -0.035507 -0.021203
  -328.0         X  0.024761  0.024617  0.024474  0.024331  0.024190     5.863790     5.813580     5.763760     5.714560     5.665970     5.617990     5.570590     5.523780     5.477540     5.431850     5.386720     5.342120     5.298060     5.254510     5.211480  -0.673102  -0.670631  -0.669380  -0.667302  -0.664409  -0.660716  -0.655841  -0.649423  -0.641140  -0.630339  -0.616476  -0.598806  -0.576506  -0.548851  -0.515130  -0.474742  -0.427912  -0.375525  -0.319108  -0.260935 -0.204528 -0.101118 -0.035895 -0.021432
  -326.0         X  0.025028  0.024882  0.024738  0.024594  0.024451     5.931820     5.881010     5.830580     5.780780     5.731610     5.683050     5.635080     5.587700     5.540900     5.494670     5.448990     5.403850     5.359260     5.315190     5.271640  -0.681254  -0.678752  -0.677485  -0.675381  -0.672452  -0.668714  -0.663777  -0.657279  -0.648893  -0.637957  -0.623922  -0.606031  -0.583453  -0.555454  -0.521314  -0.480425  -0.433015  -0.379982  -0.322872  -0.263989 -0.206900 -0.102262 -0.036289 -0.021664
  -324.0         X  0.025299  0.025152  0.025005  0.024860  0.024716     6.000920     5.949480     5.898440     5.848040     5.798270     5.749120     5.700570     5.652620     5.605250     5.558460     5.512230     5.466550     5.421410     5.376810     5.332730  -0.689540  -0.687007  -0.685724  -0.683594  -0.680628  -0.676843  -0.671844  -0.665265  -0.656773  -0.645700  -0.631489  -0.613375  -0.590514  -0.562165  -0.527599  -0.486200  -0.438201  -0.384510  -0.326696  -0.267092 -0.209310 -0.103423 -0.036689 -0.021900
  -322.0         X  0.025574  0.025425  0.025277  0.025130  0.024984     6.071100     6.019040     5.967380     5.916360     5.865990     5.816240     5.767100     5.718560     5.670620     5.623250     5.576460     5.530230     5.484540     5.439400     5.394790  -0.697963  -0.695397  -0.694098  -0.691941  -0.688938  -0.685105  -0.680044  -0.673381  -0.664783  -0.653571  -0.639181  -0.620839  -0.597691  -0.568986  -0.533986  -0.492069  -0.443471  -0.389112  -0.330582  -0.270244 -0.211757 -0.104602 -0.037095 -0.022139
