Name:A X_Dim:200 Y_Dim:600 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32          33          34          35          36         37         38        39        40            41            42            43
  -340.0         X  3.542340e-07  3.428560e-07  3.318440e-07  3.211870e-07  3.108720e-07    12.118400    11.398600    10.743700    10.147600     9.601870     9.099970     8.636380     8.206590     7.806800     7.433830     7.084970     6.757900     6.450620     6.161400     5.888700    -6.618480    -6.465530    -6.390010    -6.267350    -6.102080    -5.899920    -5.647000    -5.336230    -4.968230    -4.536590    -4.049350    -3.515750    -2.951230   -2.378780   -1.822730   -1.308130   -0.864307  -0.513211  -0.264514 -0.112939 -0.038225 -1.244880e-03 -4.999810e-06 -2.883670e-07
  -338.0         X  3.570120e-07  3.455440e-07  3.344450e-07  3.237040e-07  3.133070e-07    12.249300    11.521100    10.858800    10.255900     9.704000     9.196430     8.727630     8.293030     7.888790     7.511680     7.158960     6.828280     6.517620     6.225230     5.949560    -6.692820    -6.538060    -6.461640    -6.337530    -6.170310    -5.965770    -5.709880    -5.395460    -5.023160    -4.586490    -4.093600    -3.553870    -2.982920   -2.404020   -1.841800   -1.321600   -0.873038  -0.518284  -0.267066 -0.114000 -0.038574 -1.255540e-03 -5.039890e-06 -2.906240e-07
  -336.0         X  3.598170e-07  3.482590e-07  3.370720e-07  3.262450e-07  3.157670e-07    12.382000    11.645500    10.975600    10.365700     9.807570     9.294250     8.820170     8.380690     7.971920     7.590610     7.233970     6.899640     6.585560     6.289950     6.011260    -6.768270    -6.611670    -6.534350    -6.408770    -6.239570    -6.032610    -5.773690    -5.455570    -5.078900    -4.637120    -4.138500    -3.592550    -3.015070   -2.429630   -1.861150   -1.335250   -0.881886  -0.523424  -0.269651 -0.115074 -0.038928 -1.266310e-03 -5.080370e-06 -2.929020e-07
  -334.0         X  3.626500e-07  3.510000e-07  3.397240e-07  3.288110e-07  3.182500e-07    12.516700    11.771600    11.094000    10.477200     9.912630     9.393470     8.914030     8.469590     8.056230     7.670650     7.310040     6.971990     6.654430     6.355560     6.073810    -6.844870    -6.686400    -6.608160    -6.481090    -6.309870    -6.100450    -5.838460    -5.516580    -5.135470    -4.688510    -4.184070    -3.631780    -3.047680   -2.455600   -1.880760   -1.349090   -0.890853  -0.528630  -0.272269 -0.116161 -0.039285 -1.277200e-03 -5.121260e-06 -2.952030e-07
  -332.0         X  3.655100e-07  3.537670e-07  3.424020e-07  3.314030e-07  3.207570e-07    12.653300    11.899600    11.214100    10.590200    10.019200     9.494110     9.009210     8.559740     8.141730     7.751820     7.387170     7.045350     6.724270     6.422090     6.137220    -6.922630    -6.762270    -6.683090    -6.554500    -6.381230    -6.169320    -5.904210    -5.578510    -5.192880    -4.740650    -4.230300    -3.671590    -3.080750   -2.481940   -1.900650   -1.363130   -0.899941  -0.533906  -0.274920 -0.117262 -0.039647 -1.288210e-03 -5.162570e-06 -2.975260e-07
  -330.0         X  3.683990e-07  3.565620e-07  3.451070e-07  3.340200e-07  3.232890e-07    12.791900    12.029400    11.336000    10.704900    10.127300     9.596190     9.105760     8.651180     8.228430     7.834130     7.465390     7.119740     6.795080     6.489540     6.201520    -7.001580    -6.839290    -6.759160    -6.629020    -6.453680    -6.239230    -5.970950    -5.641360    -5.251150    -4.793570    -4.277220    -3.711990    -3.114310   -2.508650   -1.920820   -1.377350   -0.909151  -0.539251  -0.277605 -0.118377 -0.040013 -1.299350e-03 -5.204280e-06 -2.998710e-07
  -328.0         X  3.713150e-07  3.593840e-07  3.478370e-07  3.366620e-07  3.258460e-07    12.932600    12.161200    11.459600    10.821200    10.236900     9.699730     9.203690     8.743930     8.316380     7.917610     7.544710     7.195180     6.866880     6.557940     6.266720    -7.081730    -6.917490    -6.836390    -6.704680    -6.527230    -6.310200    -6.038700    -5.705170    -5.310310    -4.847290    -4.324830    -3.752970    -3.148360   -2.535750   -1.941280   -1.391770   -0.918487  -0.544666  -0.280324 -0.119505 -0.040384 -1.310600e-03 -5.246430e-06 -3.022400e-07
  -326.0         X  3.742610e-07  3.622340e-07  3.505950e-07  3.393300e-07  3.284280e-07    13.075300    12.294800    11.585100    10.939200    10.348200     9.804770     9.303020     8.838000     8.405570     8.002270     7.625160     7.271690     6.939700     6.627300     6.332830    -7.163120    -6.996880    -6.914800    -6.781500    -6.601900    -6.382260    -6.107490    -5.769940    -5.370350    -4.901810    -4.373160    -3.794570    -3.182910   -2.563240   -1.962020   -1.406400   -0.927949  -0.550153  -0.283078 -0.120648 -0.040758 -1.321980e-03 -5.288990e-06 -3.046320e-07
  -324.0         X  3.772350e-07  3.651120e-07  3.533800e-07  3.420250e-07  3.310350e-07    13.220100    12.430400    11.712400    11.058900    10.461000     9.911320     9.403790     8.933420     8.496040     8.088150     7.706750     7.349280     7.013550     6.697630     6.399860    -7.245760    -7.077500    -6.994420    -6.859500    -6.677720    -6.455410    -6.177320    -5.835700    -5.431300    -4.957150    -4.422210    -3.836780    -3.217960   -2.591130   -1.983060   -1.421220   -0.937541  -0.555713  -0.285868 -0.121804 -0.041138 -1.333490e-03 -5.331990e-06 -3.070470e-07
  -322.0         X  3.802380e-07  3.680180e-07  3.561910e-07  3.447460e-07  3.336680e-07    13.367100    12.568100    11.841500    11.180400    10.575500    10.019400     9.506010     9.030220     8.587810     8.175250     7.789500     7.427970     7.088440     6.768960     6.467840    -7.329680    -7.159360    -7.075270    -6.938710    -6.754710    -6.529700    -6.248220    -5.902470    -5.493180    -5.013330    -4.471990    -3.879610    -3.253530   -2.619420   -2.004410   -1.436260   -0.947264  -0.561348  -0.288694 -0.122975 -0.041522 -1.345120e-03 -5.375420e-06 -3.094850e-07
